path,nbr_characters,nbr_bracketed_illegible,nbr_total_qmarks,nbr_likely_illegible_qmarks,propn_total_illegible,example_bracketed_illegible,example_likely_illegible_qmarks
atsd_secretariat_database/ATCM12/wp/ATCM12_wp028_rev1_e.txt,1842,0,0,0,0.0,,
atsd_secretariat_database/ATCM13/ip/ATCM13_ip001_f.txt,8346,0,0,0,0.0,,
atsd_secretariat_database/ATCM13/ip/ATCM13_ip002_f.txt,937,0,0,0,0.0,,
atsd_secretariat_database/ATCM13/ip/ATCM13_ip003_f.txt,11369,1,1,0,8.795848359574281e-05,Krist[?]er,
atsd_secretariat_database/ATCM13/ip/ATCM13_ip004_f.txt,3479,0,0,0,0.0,,
atsd_secretariat_database/ATCM13/ip/ATCM13_ip005_f.txt,8367,0,0,0,0.0,,
atsd_secretariat_database/ATCM13/ip/ATCM13_ip007_e.txt,8068,0,3,2,0.00024789291026276647,,procedures? | applicable?» | procedures?»
atsd_secretariat_database/ATCM13/ip/ATCM13_ip008_e.txt,71590,0,3,2,2.7936862690319878e-05,,"Temp?ature | Conn?n,"
atsd_secretariat_database/ATCM13/ip/ATCM13_ip009_e.txt,3994,0,0,0,0.0,,
atsd_secretariat_database/ATCM13/ip/ATCM13_ip010_e.txt,8825,0,0,0,0.0,,
atsd_secretariat_database/ATCM13/ip/ATCM13_ip011_e.txt,16509,0,0,0,0.0,,
atsd_secretariat_database/ATCM13/ip/ATCM13_ip012_e.txt,11180,0,0,0,0.0,,
atsd_secretariat_database/ATCM13/ip/ATCM13_ip014_e.txt,21325,0,0,0,0.0,,
atsd_secretariat_database/ATCM13/ip/ATCM13_ip015_e.txt,7173,0,0,0,0.0,,
atsd_secretariat_database/ATCM13/ip/ATCM13_ip016_e.txt,2892,0,0,0,0.0,,
atsd_secretariat_database/ATCM13/ip/ATCM13_ip017_e.txt,3818,0,0,0,0.0,,
atsd_secretariat_database/ATCM13/ip/ATCM13_ip018_e.txt,390284,1,5,3,1.0248946920703897e-05,skiw[?]s,"(Switz?rland) | Peinko?er | Stati?r,"
atsd_secretariat_database/ATCM13/ip/ATCM13_ip019_e.txt,805240,0,9,2,2.4837315582931797e-06,,"(?). | G?gedos),"
atsd_secretariat_database/ATCM13/ip/ATCM13_ip020_e.txt,208401,1,4,2,1.4395324398635323e-05,CLAY-S[?],undesi?reable | ? | Knob?ess
atsd_secretariat_database/ATCM13/ip/ATCM13_ip021_f.txt,3241,0,0,0,0.0,,
atsd_secretariat_database/ATCM13/ip/ATCM13_ip022_e.txt,3132,0,0,0,0.0,,
atsd_secretariat_database/ATCM13/ip/ATCM13_ip023_f.txt,4980,0,0,0,0.0,,
atsd_secretariat_database/ATCM13/ip/ATCM13_ip024_f.txt,2518,1,1,0,0.0003971405877680699,"plasmi[?]ues,",
atsd_secretariat_database/ATCM13/wp/ATCM13_wp001_s.txt,1706,0,0,0,0.0,,
atsd_secretariat_database/ATCM13/wp/ATCM13_wp002_s.txt,14346,0,2,0,0.0,,
